time,an_x,an_y,an_z,wn_x,wn_y,wn_z,esti_x,esti_y,esti_z,esti_a,esti_b,esti_c
0.787000,0.028864,0.019553,0.010605,-0.031321,-0.167724,0.007914,0.003075,-0.000364,0.000949,-0.015839,-0.053506,-0.007738
0.793000,-0.014213,0.001646,0.000988,-0.054473,0.034235,0.068762,0.003118,-0.000366,0.000959,-0.016166,-0.053301,-0.007325
0.798000,-0.014184,0.001693,0.000988,-0.054261,0.034045,0.068762,0.003153,-0.000367,0.000968,-0.016438,-0.053130,-0.006981
0.803000,-0.014155,0.001739,0.000988,-0.054044,0.033909,0.068763,0.003187,-0.000368,0.000976,-0.016708,-0.052961,-0.006638
0.809000,-0.014120,0.001794,0.000988,-0.053778,0.033800,0.068763,0.003228,-0.000369,0.000986,-0.017030,-0.052758,-0.006225
0.815000,-0.015280,0.019010,0.005774,0.148625,0.039179,0.008083,0.003269,-0.000370,0.000997,-0.016139,-0.052523,-0.006176
0.819000,-0.015253,0.018908,0.005774,0.148007,0.038939,0.008082,0.003296,-0.000370,0.001004,-0.015547,-0.052367,-0.006144
0.824000,-0.015220,0.018782,0.005775,0.147486,0.038841,0.008082,0.003329,-0.000369,0.001013,-0.014809,-0.052173,-0.006104
0.829000,-0.027661,-0.003361,0.003373,-0.017101,0.157991,0.008011,0.003361,-0.000369,0.001022,-0.014895,-0.051383,-0.006064
0.834000,-0.027526,-0.003346,0.003373,-0.017032,0.157360,0.008011,0.003393,-0.000369,0.001031,-0.014980,-0.050596,-0.006024
0.839000,-0.027392,-0.003332,0.003374,-0.016964,0.156731,0.008011,0.003424,-0.000368,0.001040,-0.015065,-0.049813,-0.005984
0.844000,-0.027258,-0.003317,0.003375,-0.016897,0.156105,0.008011,0.003454,-0.000368,0.001049,-0.015149,-0.049032,-0.005944
0.850000,-0.004508,0.011001,-0.000203,0.050292,-0.011332,0.008027,0.003490,-0.000368,0.001060,-0.014847,-0.049100,-0.005895
0.854000,-0.004516,0.010966,-0.000203,0.050049,-0.011329,0.008026,0.003514,-0.000367,0.001068,-0.014647,-0.049145,-0.005863
0.859000,-0.004526,0.010924,-0.000203,0.049890,-0.011267,0.008026,0.003544,-0.000366,0.001077,-0.014398,-0.049202,-0.005823
0.865000,-0.004537,0.010873,-0.000203,0.049692,-0.011196,0.008026,0.003580,-0.000365,0.001088,-0.014100,-0.049269,-0.005775
0.871000,-0.006930,0.007904,-0.003199,-0.025026,0.000055,0.007974,0.003615,-0.000363,0.001099,-0.014250,-0.049269,-0.005727
0.876000,-0.006930,0.007925,-0.003199,-0.024955,0.000029,0.007974,0.003644,-0.000362,0.001108,-0.014375,-0.049268,-0.005687
0.881999,-0.006930,0.007950,-0.003199,-0.024805,0.000055,0.007974,0.003679,-0.000359,0.001119,-0.014523,-0.049268,-0.005639
0.886999,-0.013443,-0.002816,-0.000806,-0.014549,0.091355,0.008011,0.003708,-0.000357,0.001128,-0.014596,-0.048811,-0.005599
0.890999,-0.013380,-0.002806,-0.000806,-0.014492,0.091013,0.008011,0.003731,-0.000356,0.001135,-0.014654,-0.048447,-0.005567
0.895999,-0.013303,-0.002793,-0.000806,-0.014444,0.090699,0.008011,0.003759,-0.000354,0.001144,-0.014726,-0.047994,-0.005527
0.900999,-0.013225,-0.002781,-0.000806,-0.014387,0.090337,0.008011,0.003787,-0.000352,0.001153,-0.014798,-0.047542,-0.005487
0.905999,-0.010817,0.002600,0.002789,0.010896,0.018213,-0.052765,0.003815,-0.000351,0.001162,-0.014744,-0.047451,-0.005751
0.909999,-0.010804,0.002593,0.002789,0.010851,0.018115,-0.052765,0.003837,-0.000349,0.001169,-0.014700,-0.047379,-0.005962
0.914999,-0.010789,0.002584,0.002789,0.010818,0.018083,-0.052765,0.003864,-0.000347,0.001178,-0.014646,-0.047288,-0.006226
0.919999,-0.010773,0.002574,0.002789,0.010775,0.018011,-0.052765,0.003891,-0.000345,0.001188,-0.014592,-0.047198,-0.006490
0.923999,-0.007776,-0.014148,0.000400,-0.067604,0.003937,-0.052764,0.003912,-0.000344,0.001195,-0.014863,-0.047182,-0.006701
0.928999,-0.007773,-0.014091,0.000400,-0.067388,0.003951,-0.052764,0.003939,-0.000342,0.001204,-0.015200,-0.047163,-0.006965
0.933999,-0.007770,-0.014033,0.000400,-0.067118,0.003935,-0.052764,0.003965,-0.000341,0.001213,-0.015535,-0.047143,-0.007228
0.938999,-0.007767,-0.013976,0.000400,-0.066850,0.003920,-0.052764,0.003991,-0.000340,0.001223,-0.015870,-0.047123,-0.007492
0.943999,0.020869,-0.007958,-0.000176,-0.038628,-0.130393,-0.052764,0.004017,-0.000340,0.001232,-0.016063,-0.047775,-0.007756
0.948999,0.020757,-0.007925,-0.000176,-0.038473,-0.129872,-0.052764,0.004044,-0.000340,0.001241,-0.016255,-0.048425,-0.008020
0.953999,0.020647,-0.007893,-0.000176,-0.038320,-0.129354,-0.052764,0.004071,-0.000339,0.001250,-0.016447,-0.049071,-0.008284
0.958999,0.020536,-0.007860,-0.000175,-0.038167,-0.128837,-0.052764,0.004099,-0.000339,0.001259,-0.016638,-0.049716,-0.008548
0.963999,0.006694,-0.013786,0.014187,-0.065868,-0.063864,-0.052763,0.004127,-0.000340,0.001269,-0.016967,-0.050035,-0.008811
0.969999,0.006629,-0.013719,0.014186,-0.065604,-0.063583,-0.052763,0.004161,-0.000341,0.001280,-0.017361,-0.050416,-0.009128
0.974999,0.006574,-0.013663,0.014187,-0.065291,-0.063304,-0.052763,0.004190,-0.000342,0.001291,-0.017687,-0.050733,-0.009392
0.979999,0.005395,-0.007647,-0.002584,-0.037168,0.002967,-0.052782,0.004218,-0.000343,0.001301,-0.017873,-0.050718,-0.009656
0.984999,0.005397,-0.007615,-0.002584,-0.037019,0.002955,-0.052782,0.004247,-0.000345,0.001311,-0.018058,-0.050703,-0.009920
